algo,run_name,metadata_source,training_walltime_sec,eval_mean_reward,eval_std_reward,callback_best_mean_reward,best_smoothed_reward,best_model_path,final_model_path,policy_path,episode_rewards_path,timestep,eval_callback_mean,eval_callback_std,mean_ep_length,source_file,score_for_rank,reward_rank,hp.learning_rate,hp.gamma,hp.n_steps,hp.gae_lambda,hp.ent_coef,hp.vf_coef,hp.max_grad_norm,hp.total_timesteps,hp.policy_kwargs.net_arch,hp.policy_kwargs.activation_fn,hp.policy_kwargs.ortho_init,hp.buffer_size,hp.batch_size,hp.train_freq,hp.gradient_steps,hp.target_update_interval,hp.exploration_fraction,hp.exploration_final_eps,hp.learning_starts,hp.clip_range,hp.hidden_layers,hp.entropy_coef,hp.normalize_returns,hp.episodes,hp.batch_episodes
DQN,run_07,run,1044.1834072000347,156.28333325,41.5187340828076,149.254166625,,models\dqn\run_07\best_model\best_model.zip,models\dqn\run_07\final_model.zip,,,150000.0,127.87083325,30.225864769553926,50.0,dqn\run_07\eval_logs\evaluations.npz,156.28333325,4.0,0.0006,0.97,,,,,,150000.0,"[256, 128]",Tanh,sb3-default,60000.0,128.0,4.0,2.0,800.0,0.18,0.02,1800.0,,,,,,
DQN,run_06,run,1525.2585210000398,148.39166675,56.49775015320177,160.3708335,,models\dqn\run_06\best_model\best_model.zip,models\dqn\run_06\final_model.zip,,,150000.0,135.145833375,47.29892805426241,50.0,dqn\run_06\eval_logs\evaluations.npz,148.39166675,5.0,0.0004,0.98,,,,,,150000.0,"[256, 256, 128]",ReLU,sb3-default,90000.0,256.0,8.0,4.0,1000.0,0.2,0.01,2500.0,,,,,,
DQN,run_03,run,1486.2742968999082,125.924999875,46.15322541832351,162.583333375,,models\dqn\run_03\best_model\best_model.zip,models\dqn\run_03\final_model.zip,,,150000.0,162.583333375,45.695076180636434,50.0,dqn\run_03\eval_logs\evaluations.npz,125.924999875,6.0,0.0003,0.97,,,,,,150000.0,"[128, 128]",ReLU,sb3-default,50000.0,64.0,1.0,1.0,500.0,0.3,0.02,1000.0,,,,,,
DQN,run_02,run,483.3102400000207,122.21666675,58.96546794574864,150.995833375,,models\dqn\run_02\best_model\best_model.zip,models\dqn\run_02\final_model.zip,,,150000.0,150.995833375,50.9265330573564,50.0,dqn\run_02\eval_logs\evaluations.npz,122.21666675,7.0,0.00075,0.98,,,,,,150000.0,"[256, 128]",ReLU,sb3-default,80000.0,256.0,4.0,1.0,750.0,0.15,0.02,1500.0,,,,,,
DQN,run_09,run,1014.3120784999337,103.46666662499999,54.19378813311233,86.941666625,,models\dqn\run_09\best_model\best_model.zip,models\dqn\run_09\final_model.zip,,,150000.0,86.941666625,40.64101906295774,50.0,dqn\run_09\eval_logs\evaluations.npz,103.46666662499999,8.0,0.0002,0.99,,,,,,150000.0,"[512, 256]",ReLU,sb3-default,150000.0,256.0,16.0,4.0,2000.0,0.1,0.01,5000.0,,,,,,
DQN,run_01,run,490.45365040004253,95.912499875,44.90302499254257,108.495833375,,models\dqn\run_01\best_model\best_model.zip,models\dqn\run_01\final_model.zip,,,150000.0,108.495833375,49.006480612435475,50.0,dqn\run_01\eval_logs\evaluations.npz,95.912499875,9.0,0.0005,0.99,,,,,,150000.0,"[256, 256]",ReLU,sb3-default,100000.0,128.0,8.0,2.0,1000.0,0.2,0.01,2000.0,,,,,,
DQN,run_04,run,760.2397218999686,-50.495833250000004,2.278793525061273,-53.825,,models\dqn\run_04\best_model\best_model.zip,models\dqn\run_04\final_model.zip,,,150000.0,-57.379166624999996,5.556875981454326,50.0,dqn\run_04\eval_logs\evaluations.npz,-50.495833250000004,10.0,0.0001,0.99,,,,,,150000.0,"[512, 256]",ReLU,sb3-default,120000.0,128.0,16.0,4.0,1500.0,0.1,0.005,4000.0,,,,,,
PPO,run_08,run,583.2656159999315,171.39583325,33.52923041552906,165.291666625,,models\ppo\run_08\best_model\best_model.zip,models\ppo\run_08\final_model.zip,,,250000.0,145.979166625,58.30110296663384,50.0,ppo\run_08\eval_logs\evaluations.npz,171.39583325,1.0,0.0006,0.97,1024.0,0.95,0.015,0.5,0.6,250000.0,"[256, 256]",ReLU,True,,256.0,,,,,,,0.25,,,,,
PPO,run_03,run,705.5527372000506,145.54166662499998,58.56950227849554,154.5458335,,models\ppo\run_03\best_model\best_model.zip,models\ppo\run_03\final_model.zip,,,250000.0,154.5458335,56.374090036866434,50.0,ppo\run_03\eval_logs\evaluations.npz,145.54166662499998,2.0,0.0005,0.97,1024.0,0.9,0.02,0.4,0.5,250000.0,"[256, 256]",Tanh,False,,128.0,,,,,,,0.2,,,,,
PPO,run_07,run,627.7584042999661,134.45416662499997,60.033696356542244,166.112500125,,models\ppo\run_07\best_model\best_model.zip,models\ppo\run_07\final_model.zip,,,250000.0,135.483333375,53.061625679028985,50.0,ppo\run_07\eval_logs\evaluations.npz,134.45416662499997,3.0,0.0004,0.98,1280.0,0.93,0.01,0.4,0.5,250000.0,"[256, 128]",ReLU,False,,256.0,,,,,,,0.3,,,,,
PPO,run_04,run,628.5748384000035,108.45000025,42.385817224534755,100.3875,,models\ppo\run_04\best_model\best_model.zip,models\ppo\run_04\final_model.zip,,,250000.0,100.3875,43.906330009970596,50.0,ppo\run_04\eval_logs\evaluations.npz,108.45000025,4.0,0.0007,0.98,2048.0,0.92,0.005,0.6,0.5,250000.0,"[512, 256]",ReLU,True,,512.0,,,,,,,0.15,,,,,
PPO,run_00,run,1273.6833550999872,105.858333375,39.11284146764227,146.2791665,,models\ppo\run_00\best_model\best_model.zip,models\ppo\run_00\final_model.zip,,,250000.0,134.337500125,33.62310071577877,50.0,ppo\run_00\eval_logs\evaluations.npz,105.858333375,5.0,0.0003,0.99,1024.0,0.95,0.01,0.5,0.5,250000.0,"[256, 256]",ReLU,True,,256.0,,,,,,,0.2,,,,,
